Title,Release_Date,release_year,Vote_Average,Popularity,Vote_Count,Original_Language,Genre,genres_list,main_genre,Overview,Poster_Url,combined_features
The Curse of Sleeping Beauty,2016-05-05,2016,4.9,16.135,166,en,"Fantasy, Horror","['Fantasy', 'Horror']",Fantasy,"Thomas Kaiser inherits an ancestral mansion that has been in his family for generations — only to learn that he has also inherited an ancient curse stemming back to the Crusades. Forced into his new role as “protector” — the guardian appointed to keep the evil demons in the house at bay — Thomas teams with an ambitious local realtor and paranormal cleric to unravel the mystery of the house, while struggling to awaken the beautiful Briar Rose, held captive in a terrifying netherworld seen previously in his dreams.",https://image.tmdb.org/t/p/original/wO6If1l2Uv5RIngEyZmcAcI2k28.jpg,"fantasy horror thomas kaiser inherits an ancestral mansion that has been in his family for generations — only to learn that he has also inherited an ancient curse stemming back to the crusades. forced into his new role as “protector” — the guardian appointed to keep the evil demons in the house at bay — thomas teams with an ambitious local realtor and paranormal cleric to unravel the mystery of the house, while struggling to awaken the beautiful briar rose, held captive in a terrifying netherworld seen previously in his dreams."
Swimming Pool,2003-05-21,2003,6.5,16.135,511,en,"Crime, Thriller","['Crime', 'Thriller']",Crime,"A British crime novelist travels to her publisher's upmarket summer house in Southern France to seek solitude in order to work on her next book. However, the unexpected arrival of the publisher's daughter induces complications and a subsequent crime.",https://image.tmdb.org/t/p/original/bwBAUlEXhUKmegdguoFj9grF9t3.jpg,"crime thriller a british crime novelist travels to her publisher's upmarket summer house in southern france to seek solitude in order to work on her next book. however, the unexpected arrival of the publisher's daughter induces complications and a subsequent crime."
Final Analysis,1992-02-07,1992,5.6,16.134,193,en,"Drama, Thriller, Romance","['Drama', 'Thriller', 'Romance']",Drama,"A psychiatrist becomes romantically involved with the sister of one of his patients, but the influence of her controlling gangster husband threatens to destroy them both.",https://image.tmdb.org/t/p/original/5CXRmmLVSLmhLrMSygVBmseR2MU.jpg,"drama thriller romance a psychiatrist becomes romantically involved with the sister of one of his patients, but the influence of her controlling gangster husband threatens to destroy them both."
Cube Zero,2004-10-10,2004,5.7,16.132,783,en,"Mystery, Science Fiction, Thriller","['Mystery', 'Science Fiction', 'Thriller']",Mystery,Cube Zero is the third film in the trilogy yet this time instead of a film about people trapped in a deadly cube trying to get out we see it from the eyes of someone who is controlling the cube and the torture of the victims inside. When the nerd can’t stand to see a woman suffer he himself enters the cube to try and save her.,https://image.tmdb.org/t/p/original/p3t7ofvNlNhRkbAspiUe4ZdNcGA.jpg,mystery science fiction thriller cube zero is the third film in the trilogy yet this time instead of a film about people trapped in a deadly cube trying to get out we see it from the eyes of someone who is controlling the cube and the torture of the victims inside. when the nerd can’t stand to see a woman suffer he himself enters the cube to try and save her.
Jo Pil-ho: The Dawning Rage,2019-03-20,2019,6.1,16.13,70,ko,"Action, Crime, Drama","['Action', 'Crime', 'Drama']",Action,"On the run from a dogged internal affairs agent, a corrupt cop reluctantly teams up with a defiant teen to unravel a conspiracy before it's too late.",https://image.tmdb.org/t/p/original/k4QPUYRupu7Jv8ZWS9hiLw5OuhB.jpg,"action crime drama on the run from a dogged internal affairs agent, a corrupt cop reluctantly teams up with a defiant teen to unravel a conspiracy before it's too late."
Girl in the Box,2016-09-10,2016,6.9,16.129,88,en,Drama,['Drama'],Drama,"A hitchhiking woman is abducted by a young couple and held captive for seven years, during which time she's tortured and forced to live as a slave to her captors.",https://image.tmdb.org/t/p/original/1GwGESCZ34kaulttLwSBRj7h1vY.jpg,"drama a hitchhiking woman is abducted by a young couple and held captive for seven years, during which time she's tortured and forced to live as a slave to her captors."
Third Person,2013-09-09,2013,5.9,16.128,499,en,"Drama, Romance","['Drama', 'Romance']",Drama,"An acclaimed novelist struggles to write an analysis of love in one of three stories, each set in a different city, that detail the beginning, middle and end of a relationship.",https://image.tmdb.org/t/p/original/8HfxGEbQnPvIzaYAHMvu947r8sQ.jpg,"drama romance an acclaimed novelist struggles to write an analysis of love in one of three stories, each set in a different city, that detail the beginning, middle and end of a relationship."
The Campaign,2012-08-09,2012,5.8,16.127,1397,en,Comedy,['Comedy'],Comedy,Two rival politicians compete to win an election to represent their small North Carolina congressional district in the United States House of Representatives.,https://image.tmdb.org/t/p/original/jMWjJ13sFTT07DwjNlqh8VY4sK6.jpg,comedy two rival politicians compete to win an election to represent their small north carolina congressional district in the united states house of representatives.
Barney's Version,2010-10-26,2010,7.1,16.125,350,en,"Comedy, Drama","['Comedy', 'Drama']",Comedy,"The picaresque and touching story of the politically incorrect, fully lived life of the impulsive, irascible and fearlessly blunt Barney Panofsky.",https://image.tmdb.org/t/p/original/5Zk9AYPtacGiMnnd2q8mFfDe8ks.jpg,"comedy drama the picaresque and touching story of the politically incorrect, fully lived life of the impulsive, irascible and fearlessly blunt barney panofsky."
3 Ninjas,1992-08-07,1992,5.8,16.124,347,en,"Family, Action, Adventure, Comedy","['Family', 'Action', 'Adventure', 'Comedy']",Family,"Each year, three brothers Samuel, Jeffrey and Michael Douglas visits their Japanese grandfather, Mori Shintaro whom the boys affectionately refer to as Grandpa, for the summer. Mori is a highly skilled in the fields of Martial arts and Ninjutsu, and for years he has trained the boys in his techniques. After an organized crime ring proves to be too much for the FBI, it's time for the 3 brother NINJAS! To use their martial arts skills, they team up to battle the crime ring and outwit some very persistent kidnappers!",https://image.tmdb.org/t/p/original/KaUfT7TvsZt26OwBqmbPiMxvhO.jpg,"family action adventure comedy each year, three brothers samuel, jeffrey and michael douglas visits their japanese grandfather, mori shintaro whom the boys affectionately refer to as grandpa, for the summer. mori is a highly skilled in the fields of martial arts and ninjutsu, and for years he has trained the boys in his techniques. after an organized crime ring proves to be too much for the fbi, it's time for the 3 brother ninjas! to use their martial arts skills, they team up to battle the crime ring and outwit some very persistent kidnappers!"
